id,site_id,title,price,sold_quantity,thumbnail
MLA1328863540,MLA,Microondas Sansei Mdsa20npi   Blanco 20l 220v,125843.0,1,http://http2.mlstatic.com/D_750974-MLU72575025004_112023-I.jpg
MLA924926367,MLA,Microonda Philco Mpd8620 700w 20litros Digital,83999.0,250,http://http2.mlstatic.com/D_551215-MLA25146898020_112016-I.jpg
MLA1398531962,MLA,Microondas Daewoo D120m - Blanco 20lts - 220v,82999.0,200,http://http2.mlstatic.com/D_826413-MLU72102119992_102023-I.jpg
MLA1394375929,MLA,Microondas Hitplus Cm296dg 29lts Con Grill 900watts Blanco,102977.1,0,http://http2.mlstatic.com/D_748305-MLU70884569476_082023-I.jpg
MLA1344778521,MLA,Likon Li23g-s20 - Blanco - 220v,89699.99,25,http://http2.mlstatic.com/D_906824-MLA51780007081_092022-I.jpg
MLA1375782149,MLA,Microondas Grill Digital Siam Mdgsi23n 23 Lts 800w,151899.0,1,http://http2.mlstatic.com/D_703029-MLU72491964890_102023-I.jpg
MLA923194525,MLA,Microondas Grill Whirlpool Jq280   Blanco 27l 220v,196999.0,50,http://http2.mlstatic.com/D_812346-MLA50952588743_082022-I.jpg
MLA1120256750,MLA,Microondas Grill Whirlpool Jq278 Negro 27l 220v,350750.0,3,http://http2.mlstatic.com/D_606072-MLU70227096884_072023-I.jpg
MLA1330405131,MLA,Ari Mp 776 Ix A - Acero Inoxidable - 230v,910750.0,3,http://http2.mlstatic.com/D_775150-MLA46794084377_072021-I.jpg
MLA912086231,MLA,Microondas Digital Bgh Quick Chef  B330dss9 Trifunción 30 L,207812.95,150,http://http2.mlstatic.com/D_949071-MLU72338775643_102023-I.jpg
MLA921671910,MLA,Microondas Whirlpool Wms20as 700w Inoxidable 20 Lts,129999.0,2,http://http2.mlstatic.com/D_847282-MLA52930756490_122022-I.jpg
MLA1136953037,MLA,Microondas Grill Atma Md1828gn   Acero Inoxidable 28l 220v,133200.0,3,http://http2.mlstatic.com/D_851948-MLA40184463751_122019-I.jpg
MLA830184278,MLA,Microondas Bgh Quick Chef B120m16   Blanco 20l 220v,98998.92,100,http://http2.mlstatic.com/D_785464-MLA31663717287_082019-I.jpg
